x, y = NULL, density = NULL, angle = 45, border = NULL, col = NA, lty = par("lty"), list() , fillOddEven = FALSE
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,1,0,1,1,1,0,0
1,1,0,0,1,1,0,0,0
1,1,0,0,0,0,0,0,0
1,0,1,0,0,1,0,0,0
1,1,0,0,1,1,0,0,0
1,1,0,0,1,1,0,0,0
1,0,0,0,1,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,1,1,0,0,0
1,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
0,0,1,1,1,0,0,0,0
1,1,0,0,1,1,0,0,0
1,1,0,0,1,1,0,0,0
1,1,0,0,1,1,0,0,0
1,1,1,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,0
1,1,0,0,1,1,0,0,0
1,1,0,0,1,1,0,0,0
1,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0
1,1,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,0
1,1,0,0,1,1,0,0,0
1,1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0
1,1,0,0,1,1,0,0,0
1,1,0,0,0,0,0,0,0
1,0,0,0,1,1,0,0,0
1,1,0,0,0,1,0,0,0
1,0,1,0,0,1,0,0,0
1,1,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,1,0,1,0,0
1,0,0,0,1,1,0,0,0
1,0,0,0,1,1,0,0,0
1,1,0,0,1,1,0,0,0
1,1,1,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,1,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,1,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,1,1,0,0,0
1,1,0,0,1,1,0,0,0
0,0,0,0,0,1,0,0,0
1,1,0,0,0,1,1,0,0
1,1,0,0,1,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,1,1,1,1,1,0,0
1,1,0,0,1,1,0,0,0
1,1,0,0,1,1,0,0,0
1,1,0,0,1,1,0,0,0
1,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0
1,1,0,0,1,1,0,0,0
1,1,0,0,1,1,0,0,0
1,1,1,0,0,1,0,0,0
0,0,0,0,1,1,0,0,0
1,1,1,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,1,0,0,1,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,0
1,1,1,1,0,0,0,0,0
1,0,0,0,0,1,1,0,0
1,1,0,0,0,0,0,0,0
1,1,0,0,1,1,0,0,0
0,0,1,1,1,0,0,0,0
1,1,0,0,1,1,0,0,0
1,1,1,0,0,1,0,0,0
1,0,0,0,1,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,1,1,0,0,0
1,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0
1,1,0,0,0,1,1,0,0
1,0,0,0,1,1,0,0,0
1,1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0
1,1,0,0,1,1,1,0,0
1,1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,1,0,0,0,1,1,0,0
1,1,0,0,1,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,0,0,0,0
1,1,0,0,1,1,0,0,0
1,1,0,0,1,0,1,0,0
1,1,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,0,0,0
1,1,1,1,0,0,0,0,0
1,0,0,0,1,0,1,0,0
1,0,0,0,1,1,0,0,0
1,1,0,0,1,1,0,0,0
1,0,1,0,1,1,0,0,0
1,1,1,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,1,1,0,0,0
1,1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0
1,0,0,0,1,1,0,0,0
1,1,0,0,1,1,0,0,0
1,1,1,0,0,0,0,0,0
1,0,0,0,1,1,0,0,0
1,0,0,0,1,1,0,0,0
1,1,0,0,1,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,0,0,0,0
1,1,0,0,1,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0
1,1,0,0,0,1,1,0,0
1,1,1,0,0,1,0,0,0
1,1,0,0,1,1,0,0,0
1,1,0,0,1,1,0,0,0
