xleft, ybottom, xright, ytop, density = NULL, angle = 45, col = NA, border = NULL, lty = par("lty"), lwd = par("lwd"), list()
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0
1,1,1,1,1,0,1,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,1,0,1,0
1,1,1,1,0,0,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,1,1,0,0,0
1,1,1,1,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,1,0,0,0
1,1,1,1,0,0,1,0,0,0,0
1,1,1,1,0,0,1,0,1,0,0
1,1,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,1,0,1,0
1,1,1,1,1,0,1,1,0,0,0
1,1,1,0,1,0,1,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0
1,1,1,1,0,0,1,1,0,0,0
1,1,1,1,0,0,1,1,0,0,0
1,1,1,1,0,0,0,0,0,0,0
1,1,1,1,0,0,1,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,0,0,0,0,0
1,1,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,1,1,0,0,0
1,1,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,1,0,0,0
1,1,1,1,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,1,0,0,0
1,1,1,1,0,0,1,1,0,0,0
1,1,1,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,1,1,0,0,0
1,1,1,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,1,0,0,0
1,1,1,1,0,0,0,1,0,0,0
1,1,1,1,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,1,0,0,0
1,1,1,1,0,0,0,0,0,1,0
1,1,1,1,0,0,0,0,0,1,0
1,1,1,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,0,0,0,0
1,1,1,1,0,0,1,0,0,0,0
1,1,1,1,0,0,1,0,0,0,0
1,1,1,1,0,0,1,0,0,0,0
1,1,1,0,0,0,1,0,0,0,0
1,1,1,1,0,0,1,0,0,0,0
1,1,1,1,0,0,0,1,0,1,0
1,1,1,1,0,0,0,1,0,1,0
1,1,1,1,0,0,0,1,0,0,0
1,1,1,1,0,0,1,1,0,0,0
1,1,1,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,1,0,1,0
1,1,1,1,0,0,1,0,1,0,0
1,1,1,1,0,0,1,0,1,0,0
1,1,1,1,0,0,1,0,0,0,0
1,1,1,1,0,0,1,0,0,0,0
1,1,1,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,1,0,0,0
1,1,1,1,0,0,1,1,0,0,0
1,1,1,1,0,0,1,1,0,0,0
1,1,1,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,1,0,0,0
1,1,1,1,0,0,1,1,0,0,0
1,1,1,1,0,0,1,1,0,0,0
1,1,1,1,0,0,1,1,0,0,0
1,1,1,1,0,0,1,1,0,0,0
1,1,1,1,0,0,1,1,0,0,0
1,1,1,1,0,0,1,1,0,0,0
1,1,1,1,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0
1,1,1,0,0,0,1,0,0,0,0
1,1,1,0,0,0,1,0,0,0,0
1,1,1,1,0,0,1,0,0,0,0
1,1,1,1,0,0,1,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0
1,1,1,1,0,0,1,1,0,0,0
0,0,0,0,0,0,1,1,0,0,0
1,1,1,0,0,0,1,1,0,0,0
1,1,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,1,0,0,0
1,1,1,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,1,1,0,0,0
1,1,1,1,0,0,1,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0
1,1,1,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,0,0,0,0
1,1,1,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,1,0,0,0
1,1,0,0,0,0,1,1,0,0,0
1,1,1,1,1,0,1,1,0,0,0
1,1,1,1,0,0,0,0,0,0,0
