x, y = NULL, labels = seq_along(x), adj = NULL, pos = NULL, offset = 0.5, vfont = NULL, cex = 1, col = NULL, font = NULL
1,1,1,1,0,0,0,0,0,0
1,1,1,0,0,0,0,1,0,0
1,1,1,0,0,0,0,1,0,0
1,1,1,1,0,0,0,1,0,0
1,1,1,0,0,0,0,1,0,0
1,1,1,1,0,0,0,1,0,0
0,0,1,1,0,0,0,1,0,0
1,1,1,0,0,0,0,1,0,0
1,1,0,0,0,0,0,1,0,0
1,1,0,1,0,0,0,0,1,0
1,1,1,0,0,0,0,0,1,0
1,1,1,0,0,0,0,0,1,0
1,1,1,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,1,1,0
1,1,1,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,1,1,0
1,1,1,1,0,0,0,1,0,0
1,1,1,0,1,0,0,1,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0
1,1,1,0,1,0,0,1,1,0
1,1,1,0,0,0,0,0,1,0
1,1,1,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,1,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,1,0,1,1,0
1,1,1,0,0,0,0,1,0,0
1,1,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0
1,1,1,0,1,0,0,1,0,0
1,1,1,0,1,0,0,1,0,0
1,1,1,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0
